avg_temp_max,avg_precip,soil_temp_surface,soil_temp_deep,soil_moisture_surface,soil_moisture_deep,lat,lon,elevation,dist_to_coast,ndci,ndvi,mndwi
32.1,1.95,25.3,23.4,0.102,0.14,40.11606,-104.81825,1490.0,1373.9,0.1483253588516745,-0.0179983179142136,-0.0410167533217793
34.0,0.0,28.1,26.1,0.062,0.107,37.61242,-120.65653,72.0,163.5,0.033581754511987,0.1998661859272199,-0.254739336492891
27.2,4.26,22.4,20.8,0.178,0.184,43.64356,-96.19319,435.0,679.5,0.3420110641067361,0.6411712511091393,-0.6068270614846802
28.6,0.52,23.5,22.0,0.208,0.212,40.81693,-75.07663,95.0,91.6,0.1404525902375163,0.4048174048174048,-0.437160751565762
34.2,20.28,29.0,28.6,0.172,0.175,28.3176,-81.52107,27.0,221.1,0.6093023255813953,0.5675675675675675,-0.7363515312916112
31.1,1.05,24.7,23.1,0.082,0.125,39.48827,-105.09275,1678.0,1322.1,0.3101449275362319,0.3881748071979434,-0.5625356938892062
28.0,5.79,22.6,20.8,0.225,0.233,45.6912,-96.7553,295.0,576.5,0.1454545454545454,-0.1058823529411764,0.7007299270072993
26.3,4.73,21.8,19.9,0.238,0.24,45.26329,-94.31249,318.0,446.7,0.1665278934221482,0.4339836019225332,-0.4495538778311599
32.4,3.8,28.3,26.9,0.235,0.236,35.04176,-89.85648,108.0,532.0,-0.000749063670411985,0.1426279480186106,-0.2467410083241715
33.7,10.04,28.5,27.8,0.137,0.137,30.24473,-83.24972,17.0,148.9,-0.1550802139037433,0.1183673469387755,-0.3114754098360656
27.9,3.92,22.8,20.9,0.199,0.201,40.83525,-74.6446,214.0,56.3,0.1603471904979442,0.3957922419460881,-0.3998044965786901
33.4,5.08,31.1,30.6,0.157,0.16,26.93597,-82.12165,0.0,229.4,-0.0052356020942408,-0.2549019607843137,0.3541076487252124
26.6,1.51,21.7,20.1,0.259,0.263,44.69361,-93.78834,278.0,465.0,0.1329394387001477,0.413439920059955,-0.4674652872311462
29.6,0.23,24.3,22.0,0.048,0.098,40.18707,-110.7701,1925.0,958.1,0.0172117039586919,0.2356091030789825,-0.3289264939185616
30.0,0.04,30.9,30.5,0.159,0.161,25.59,-80.1,0.0,15.8,-1.0,-0.0476190476190476,0.9175704989154012
27.7,4.39,21.8,20.2,0.131,0.159,43.2165,-71.76639,128.0,71.5,0.0205761316872428,0.0285714285714285,0.3943661971830985
30.1,0.03,24.9,23.3,0.05,0.105,48.323,-119.432,304.0,228.2,0.5345195729537366,0.8280305022350776,-0.527907967618236
27.2,1.08,22.2,20.5,0.272,0.277,44.85179,-93.54161,266.0,439.1,0.0892857142857142,-0.3246753246753247,0.6945010183299389
28.1,2.83,24.3,22.8,0.256,0.261,41.34888,-96.00111,341.0,700.2,0.0540612516644474,0.2043901892709149,-0.2769280136913039
32.4,0.06,26.1,23.8,0.052,0.123,40.11165,-108.7125,1624.0,1087.7,-0.2736660929432014,-0.8407960199004975,0.8604651162790697
33.9,4.66,28.6,27.9,0.132,0.132,30.08402,-83.07492,21.0,134.3,0.4417582417582417,0.560933448573898,-0.672289156626506
15.2,4.97,12.3,12.9,0.375,0.378,58.35584,-134.48569,12.0,1443.0,0.1859193438140806,0.6017388396589199,-0.2773063235696688
28.6,0.06,20.7,18.7,0.086,0.131,42.65972,-113.91194,1288.0,856.3,0.1000901713255184,0.3820433436532507,-0.2992413599325653
26.9,8.11,23.2,21.8,0.288,0.292,41.28002,-82.42024,255.0,306.1,0.0842266462480857,0.5557206537890045,-0.3705841607019164
26.3,0.03,20.2,18.0,0.144,0.17,40.59134,-110.11432,2236.0,1029.4,0.4197874903363837,0.6011994991102618,-0.5669740887132192
31.6,3.96,27.0,25.8,0.291,0.293,33.76022,-84.42814,288.0,434.2,0.306801007556675,0.7764782326185835,-0.6110146365666088
33.3,5.86,30.3,29.9,0.159,0.161,26.94433,-82.2177,4.0,237.9,0.5023576351106275,0.7547372184483375,-0.6681443951868271
26.7,4.13,22.8,21.4,0.289,0.293,41.4134,-85.8645,252.0,147.9,0.398311048557354,0.5232785057150823,-0.5715239154616241
34.1,11.47,30.4,29.5,0.184,0.187,28.011,-81.78122,47.0,254.6,0.035230352303523,-0.4071146245059288,0.3221957040572792
27.7,6.31,22.9,21.7,0.313,0.316,41.77137,-87.86998,194.0,23.8,0.1386861313868613,-0.1683168316831683,0.6677316293929713
26.2,4.22,21.7,20.2,0.242,0.243,40.8969,-78.6775,376.0,223.5,0.0594227504244482,-0.1013916500994035,-0.0352941176470588
33.4,8.51,27.8,26.9,0.266,0.269,30.52187,-84.10612,45.0,232.0,0.5398009950248757,0.8604826546003017,-0.6209773539928486
27.8,3.59,22.2,21.2,0.156,0.16,44.9049,-93.13557,204.0,415.2,0.3387004025301897,0.5704146432573777,-0.4837662337662338
26.0,5.02,21.5,20.4,0.138,0.141,45.51369,-92.99619,263.0,355.1,0.2429837518463811,0.4562334217506631,-0.4816061553257995
28.9,4.48,24.8,23.6,0.153,0.174,40.30983,-74.51675,29.0,61.6,0.1351888667992047,0.338654503990878,-0.282985339848956
24.5,1.22,17.4,18.2,0.175,0.179,44.27477,-68.35152,19.0,129.0,0.5284128020901372,0.84892236869638,-0.4265905383360522
27.1,7.41,20.7,18.9,0.152,0.173,44.03366,-69.95012,36.0,129.0,0.214013709063214,0.485543369890329,-0.6176078257003113
26.7,0.59,22.7,20.6,0.287,0.292,41.9181,-80.4689,248.0,168.8,0.314900153609831,0.5734098517455762,-0.5986607142857143
31.0,0.02,25.2,23.9,0.036,0.094,33.97447,-116.8608,911.0,132.7,0.4783709157846295,0.730070845984402,-0.6675487925901422
25.8,3.21,21.3,19.7,0.235,0.238,43.86487,-92.1986,302.0,445.8,0.0909813269765593,0.2408759124087591,-0.3926829268292683
27.8,1.08,23.2,21.4,0.213,0.216,42.65463,-70.80699,9.0,32.4,0.1797235023041474,0.4331210191082802,-0.4634844868735083
30.1,4.39,25.7,24.0,0.305,0.308,38.884,-90.658,136.0,406.5,0.2055702917771883,0.2345047923322683,-0.3928914505283381
34.3,5.08,31.0,30.5,0.156,0.16,27.85693,-82.36551,0.0,279.2,0.0428571428571428,-0.38860103626943,0.0696202531645569
25.7,2.45,21.5,20.0,0.252,0.255,44.08896,-92.28448,329.0,462.0,0.199017199017199,0.4710654407787993,-0.5755829185223998
30.3,0.44,24.3,22.3,0.074,0.126,43.68322,-116.66319,723.0,617.5,0.2468885672937771,0.4037580201649862,-0.4345598509548207
31.2,1.99,26.3,24.1,0.183,0.187,38.0158,-77.7161,76.0,116.4,-0.0049751243781094,-0.1778425655976676,0.6726057906458798
31.3,2.37,25.6,24.1,0.173,0.176,38.1548,-77.9502,77.0,117.0,0.0860144451739986,0.266403162055336,-0.3658850574712644
34.6,2.19,32.0,30.3,0.107,0.152,32.795,-99.60569,460.0,527.4,-0.0414201183431952,0.2243589743589743,-0.1392811296534018
32.5,1.39,29.7,29.1,0.13,0.127,28.24903,-82.75306,0.0,249.9,0.1054078826764436,-0.7617328519855595,0.8037225042301185
28.9,1.33,24.7,24.5,0.284,0.29,40.91661,-73.86814,81.0,26.5,0.2289893036454922,0.5706297106734743,-0.4621670702179177
32.4,1.94,30.2,29.8,0.166,0.167,26.73529,-82.12721,0.0,218.5,-0.1136363636363636,-0.3517241379310344,0.5981735159817352
34.3,5.08,31.0,30.5,0.156,0.16,27.85663,-82.36462,0.0,279.3,0.0738255033557047,-0.3869346733668342,0.2740740740740741
30.5,3.52,24.1,22.9,0.253,0.251,37.3492,-82.2063,311.0,486.9,-0.0219058050383351,0.124765478424015,-0.3599348534201954
27.3,4.85,23.3,22.1,0.293,0.297,40.47263,-87.20694,206.0,140.4,0.209742895805142,0.5867924528301887,-0.4964410327983252
28.1,6.79,23.5,22.3,0.294,0.298,39.73161,-87.08484,195.0,223.1,0.0622182146077547,-0.2192262602579132,0.654196157735086
26.8,0.58,22.4,20.4,0.126,0.173,43.87533,-115.92068,1248.0,645.1,0.0865544225752904,0.3167789996452643,-0.406266409942237
24.2,1.7,19.1,18.0,0.183,0.183,48.54091,-93.00387,346.0,240.7,-0.0105263157894736,-0.2631578947368421,0.3277310924369748
27.1,0.65,22.6,21.1,0.226,0.228,44.36088,-95.14731,318.0,564.0,0.1123403078428661,0.3405092702356679,-0.3714139344262295
25.0,3.26,21.1,19.5,0.348,0.346,47.7893,-96.45016,286.0,488.8,0.1030392883617494,0.4083129584352078,-0.3627892996693718
28.9,4.29,22.9,23.3,0.258,0.266,40.90666,-73.635,0.0,38.4,-0.0933333333333333,-0.3015873015873015,0.7777777777777778
29.5,1.11,26.8,25.7,0.281,0.288,40.80227,-74.06585,0.0,12.7,-0.0198198198198198,-0.5380434782608695,0.7520858164481525
28.7,4.84,25.1,24.0,0.266,0.273,40.90056,-74.18278,103.0,27.1,0.3360686311077956,0.6457006369426752,-0.5726751433557716
28.7,6.59,23.9,22.2,0.234,0.235,42.4244,-83.3159,197.0,177.1,0.2742782488408433,0.4383425852498017,-0.4270977980559413
32.7,5.09,30.0,29.2,0.187,0.173,28.43489,-82.65265,20.0,227.0,0.518935516888434,0.8415908324907314,-0.6033229491173416
29.7,3.94,25.4,24.1,0.137,0.158,40.16722,-74.6775,22.0,82.4,0.1947318908748824,0.4820492133924969,-0.4077578051087985
31.2,0.19,23.7,21.3,0.053,0.096,37.23462,-107.86863,1963.0,987.8,-0.084734954165006,-0.0349863097048981,-0.1310513600853387
33.6,13.63,29.8,29.2,0.174,0.176,27.75076,-81.17683,21.0,237.6,0.2193645990922844,0.7708703374777975,-0.4409937888198758
23.1,2.45,24.6,22.8,0.194,0.208,41.89155,-83.19624,172.0,235.0,-0.0807174887892376,-0.3577464788732394,0.8394863563402889
28.5,1.36,21.9,20.4,0.149,0.169,42.93808,-72.52546,70.0,133.4,-0.0684931506849315,-0.4117647058823529,0.1750741839762611
28.1,2.22,23.0,21.4,0.078,0.081,42.38,-71.734,120.0,60.3,0.0553745928338761,-0.1958762886597938,0.4491017964071855
26.7,4.83,22.6,21.7,0.183,0.185,41.56347,-86.49508,208.0,93.1,0.2788732394366197,0.3930053349140486,-0.4875717017208413
31.9,0.02,26.1,23.5,0.044,0.09,38.32749,-109.06039,1833.0,958.2,0.0919041328552557,0.3028107794842075,-0.3731863029599536
28.0,4.36,25.8,23.8,0.299,0.304,41.48,-82.94444,172.0,280.2,0.1266511266511266,-0.357487922705314,0.8982188295165394
27.0,1.29,21.9,21.1,0.144,0.149,41.74666,-70.6533,0.0,78.1,-0.1351351351351351,-0.5849056603773585,0.6190476190476191
27.4,5.39,23.4,22.1,0.288,0.293,40.03054,-85.31502,325.0,267.2,0.0817438692098092,0.3572790845518118,0.021259842519685
34.9,7.98,30.2,29.4,0.179,0.183,27.97269,-81.84247,33.0,259.2,0.336832895888014,-0.0355191256830601,0.8101472995090017
31.7,0.74,24.8,22.9,0.111,0.151,40.44569,-104.81225,1438.0,1390.5,0.2945826551964659,0.3613976005051567,-0.5311676909569798
22.4,0.13,16.3,14.7,0.109,0.136,40.52797,-121.38712,2003.0,318.1,0.081081081081081,0.088659793814433,0.4216867469879518
32.7,0.21,25.5,23.3,0.055,0.117,40.20663,-109.85855,1482.0,1017.3,0.1028930817610062,0.0380361478284327,-0.1486827033218785
28.3,0.94,22.1,20.7,0.088,0.089,43.0367,-71.21969,80.0,26.9,-0.1259842519685039,-0.2489082969432314,0.3374613003095975
25.3,2.55,20.9,19.1,0.216,0.233,46.94495,-94.40514,408.0,355.1,-0.0146341463414634,-0.0666666666666666,0.3738019169329074
33.2,4.74,28.5,27.0,0.23,0.233,34.40497,-79.34035,21.0,134.3,0.382010582010582,0.7440841367221736,-0.4691279439847231
25.4,5.34,19.7,18.1,0.218,0.226,46.92198,-94.91089,422.0,392.4,0.1117505995203836,0.3533519553072625,-0.3578500707213578
27.7,2.27,23.0,21.1,0.218,0.221,41.01844,-74.40106,181.0,48.9,0.0432989690721649,0.3643835616438356,-0.3698311007571345
32.0,2.86,27.0,25.7,0.244,0.249,36.00756,-79.94092,233.0,273.6,0.0728083209509658,-0.3220338983050847,0.6171617161716172
35.3,0.53,31.3,30.0,0.039,0.069,35.34439,-103.38961,1134.0,976.6,0.0084889643463497,0.0590762620837808,-0.1765650080256821
25.4,3.21,20.2,18.9,0.136,0.138,44.65167,-85.45526,257.0,172.3,0.0990894483128012,0.5004455004455004,-0.3219682293684618
28.5,0.0,22.9,20.8,0.044,0.075,34.66295,-118.39526,1002.0,74.2,0.2380261248185776,0.4376004284949116,-0.5469853340575774
32.3,7.49,27.8,27.1,0.173,0.176,30.78089,-86.22094,50.0,102.8,0.4666666666666667,0.7722308892355694,-0.5819750719079578
34.5,0.14,26.5,24.5,0.073,0.116,38.43946,-105.23278,1624.0,1255.0,-0.0238938053097345,0.100660707345511,-0.1672771672771672
23.4,0.65,19.7,18.4,0.1,0.169,47.77913,-122.18783,14.0,21.6,0.3884484711211778,0.8153214774281806,-0.4731522425773847
26.0,3.16,22.0,20.1,0.222,0.224,45.33355,-95.12064,365.0,490.2,0.3182109993580141,0.6247497153625692,-0.5306403302841415
32.1,0.53,26.7,24.8,0.083,0.141,39.92278,-104.86746,1532.0,1361.0,-0.0515151515151515,0.0243673851921274,-0.1112525863441031
25.7,2.82,20.9,19.3,0.274,0.276,45.94815,-95.36158,412.0,468.0,0.163194905134669,-0.0374208405296488,0.4455852156057495
29.2,3.23,25.5,24.3,0.275,0.278,39.17472,-94.40056,221.0,640.1,0.2459439528023599,0.4846270161290322,-0.5519762111262545
28.8,1.72,23.0,21.3,0.207,0.212,42.5828,-73.75392,0.0,210.4,-0.1063829787234042,-0.2338983050847457,0.5161290322580645
30.1,0.0,24.8,23.7,0.043,0.084,33.88335,-117.64533,143.0,61.8,0.1907438016528925,0.0730783794017417,-0.3937575030012005
28.5,8.95,24.1,22.8,0.293,0.296,38.44222,-86.48778,167.0,374.4,0.4302370773416246,0.4782918149466192,-0.6929347826086957
29.8,8.29,24.9,23.1,0.203,0.244,43.74833,-99.55611,424.0,878.2,0.0049583684161287,-0.0564163686928883,0.4100260793972761
29.3,4.78,24.4,22.9,0.185,0.188,40.4729,-74.57106,15.0,54.4,-0.1231393775372124,0.2242990654205607,-0.1061783203847576
32.8,0.0,25.3,22.6,0.078,0.114,39.0219,-122.88898,404.0,140.0,0.0079470198675496,0.5583075335397317,-0.2271430716108692
30.9,2.14,26.2,25.0,0.305,0.308,34.19,-84.5778,258.0,460.4,-0.1331058020477815,-0.509090909090909,0.8552631578947368
25.1,7.35,19.9,18.4,0.218,0.227,46.86404,-95.02542,418.0,402.6,0.4180353269290363,0.6805579180132676,-0.5054545454545455
