lat,lon,state,Alkalinity_total,Dissolved_oxygen_DO,Hardness_Ca_Mg,Specific_conductance,Temperature_water,Total_dissolved_solids,Turbidity,pH
0.0,0.0,NE,140.0,5.002877697841726,,699.2335766423357,20.511111111111113,,93.57894736842105,
19.42152,-155.91058,HI,,6.6554,,11.7189,26.1334,,4.0809,
19.67562604,-156.03493231,HI,,,,53.7631,,,,
19.67873,-156.02176,HI,,6.7889,,,,,,
19.67923021,-156.03560934,HI,,6.559,,,,,,
19.68325,-156.03879,HI,,6.7161,,53.8109,,,,
19.68466155,-156.03595728,HI,,6.7618,,,,,,
19.68656,-156.03572,HI,,6.8959,,,,,,
19.68702,-156.03314,HI,,,,,22.7188,,,
19.6872,-156.0263,HI,,,,,19.8094,,0.878,
19.68792,-156.0365,HI,,,,,26.791,,,
19.68867938,-156.0370842,HI,,,,,27.3599,,,
19.6891201,-156.023776,HI,,13.23515,,,33.3771,,,
19.68942,-156.03467,HI,,2.6385,,,,,,
19.69052495,-156.04060538,HI,,,,53.513,,,,
19.69124993,-156.0435087,HI,,6.995,,,,,,
20.0278,-155.82445,HI,,,,,,,123.7875,
20.65029656,-156.08606958,HI,,8.7152,,,,,,
20.66338571,-156.04226039,HI,,9.525,,,,,,
20.66826833,-156.05212228,HI,,,,0.093,,,,
20.6731,-156.05594,HI,,,,,20.7217,,,
20.7388179,-156.8934794,HI,,6.61,,,,,,
20.741563,-156.887956,HI,,,,,25.8,,,
20.755056,-156.459602,HI,,,,,25.1,,22.815,
20.790305,-156.510825,HI,,,,,24.8,,2.69,
20.792747,-156.567326,HI,,,,,25.5,,10.73,
20.79448,-156.58142,HI,,,,,28.4,,,
20.794917,-156.506735,HI,,,,,,,0.7,
20.794936,-156.485587,HI,,,,,25.8,,1.84,
20.796414,-156.503198,HI,,6.86,,,23.950000000000003,,,
20.80915,-156.60661,HI,,,,,26.9,,3.07,
20.80986,-156.61369,HI,,6.765,,,,,,
20.86485,-156.67374,HI,,,,,,,8.54,
20.86732,-156.67605,HI,,,,,27.6,,,
20.871933,-156.678624,HI,,,,,27.1,,,
20.876911,-156.681359,HI,,,,,,,2.75,
20.885373,-156.686429,HI,,6.18,,,25.8,,,
20.887449,-156.685048,HI,,,,,,,1.35,
20.910347,-156.689382,HI,,6.82,,,25.4,,,
20.941269,-156.692439,HI,,6.8,,,,,3.41,
20.949331,-156.691124,HI,,,,,27.4,,,
20.967083,-156.68139,HI,,,,,25.5,,10.87,
20.976561,-156.678,HI,,,,,24.5,,,
20.97869026374571,-156.5545049965067,HI,,,19.725,72.33333333333333,21.0,33.230000000000004,,7.800000000000001
20.982074,-156.673398,HI,,5.93,,,,,,
20.994222,-156.667417,HI,,,,,26.46666666666667,,,
20.998924,-156.666746,HI,,,,,25.2,,,
21.004056,-156.65894,HI,,6.84,,,,,,
21.013058,-156.63834,HI,,6.6,,,,,,
21.14351,-156.92003,HI,,8.44,,,,,,
21.14609557,-156.92132799,HI,,9.0113,,,19.3726,,,
21.16379002,-156.93012999,HI,,,,,21.9591,,,
21.1717928,-156.92125171,HI,,,,,25.692,,,
21.19380406,-156.986883764,HI,,7.034,,,,,,
21.19911732,-156.987673611,HI,,,,53.8815,,,,
21.21538153,-156.96893684,HI,,6.8104,,,,,,
21.286523635621,-157.8185608407876,HI,,,,126.23076923076923,,,,
21.29663474867988,-157.836755289582,HI,,,,110.0,,,,
21.308718085222832,-157.83042195529288,HI,,,,,22.3,,,
21.342495869714913,-157.88444974612642,HI,,,,1513.3333333333333,21.200000000000003,,,
21.34277364755315,-157.8847275239753,HI,,,,1030.0,21.46666666666667,,,
21.349968098691477,-157.72892193450215,HI,,,,188.66666666666666,,,,
21.35138476053774,-157.89333863728368,HI,,,,427.14285714285717,21.583333333333332,,,
21.351412538323345,-157.8933108595016,HI,,,,411.0,21.36,,,
21.405745888441423,-157.79050528334977,HI,,,,51.76923076923077,,,,
21.411801445266953,-157.79811639634883,HI,,,,84.21428571428571,,,,
21.450937553820133,-158.18491926032576,HI,,,,1270.0,31.9,,,
21.48749590130455,-158.02722756045267,HI,,,,175.9090909090909,21.361538461538462,,,
21.677318172169848,-157.98572478052378,HI,,,,305.875,22.5125,,,
21.87979595088508,-159.4691251123424,HI,,,,200.0,,,,
22.213884921578646,-159.49611679821246,HI,,,,6840.0,,,,
24.521619987,-81.56432,FL,,,,,26.7012,,0.48,
24.587819987,-81.57698,FL,,6.53575,,,,,,
24.606129986,-81.65368,FL,,,,,,,1.1,
24.631509986,-81.50374,FL,,,,,30.5,,,
24.641215,-81.339787,FL,,,,,28.2,,,
24.650829987,-81.90467,FL,,,,,,,1.41,
24.659409987,-81.38327,FL,,,,,,,1.24,
24.691929987,-81.18245,FL,,,,,,,0.08,
24.725029987,-81.52052,FL,,6.72076,,,,,,
24.730786,-81.028902,FL,,,,,,,1.1,
24.768519987,-81.555,FL,,6.94424,,,,,,
24.802229987,-80.7162,FL,,,,,,,0.54,
24.802469987,-80.8089,FL,,6.39311,,,,,,
24.871229987,-80.66865,FL,,6.44761,,,,,,
24.876669987,-80.95833,FL,,6.61414,,,,,,
24.892989,-80.66897,FL,,,,,32.1,,,
24.9186,-80.934869444,FL,,,,50121.0,28.1,,,
24.950119987,-80.56218,FL,,6.56099,,,,,,
24.977669444,-80.753519444,FL,,,,55150.5,,,1.0,
25.001669987,-80.4749,FL,,,,,,,0.24,
25.060179987,-80.42312,FL,,,,,,,1.01,
25.085349987,-80.43346,FL,,6.5612,,,,,,
25.091419444,-80.754780556,FL,,,,,27.5,,,
25.10175,-80.5314,FL,,6.98,,,,,,
25.113549987,-80.37342,FL,,,,,25.9952,,1.1,
25.115300001,-80.4273,FL,,,,45.2,,,,
25.117969444,-80.599719444,FL,,,,46735.0,,,,
25.118269444,-80.93965,FL,,7.09,,,,,,
25.121380556,-80.802880556,FL,,,,,,,3.0,
25.127473986,-80.403765,FL,,,,,,,0.4,
25.1369694444444,-81.0643805555556,FL,,,,57907.692307692305,28.715384615384615,,53.666666666666664,
