system:index,lat,lon,mndwi,ndci,ndvi,.geo
0,40.11606,-104.81825,-0.04101675332177932,0.14832535885167458,-0.017998317914213663,"{""type"":""Point"",""coordinates"":[-104.81825,40.11606]}"
1,37.61242,-120.65653,-0.254739336492891,0.03358175451198703,0.19986618592721994,"{""type"":""Point"",""coordinates"":[-120.65652999999999,37.61242]}"
2,43.64356,-96.19319,-0.6068270614846802,0.3420110641067361,0.6411712511091393,"{""type"":""Point"",""coordinates"":[-96.19319,43.64356000000001]}"
3,40.81693,-75.07663,-0.437160751565762,0.14045259023751636,0.4048174048174048,"{""type"":""Point"",""coordinates"":[-75.07663,40.81692999999999]}"
4,28.3176,-81.52107,-0.7363515312916112,0.6093023255813953,0.5675675675675675,"{""type"":""Point"",""coordinates"":[-81.52107,28.3176]}"
5,39.48827,-105.09275,-0.5625356938892062,0.3101449275362319,0.38817480719794345,"{""type"":""Point"",""coordinates"":[-105.09275,39.48827]}"
6,45.6912,-96.7553,0.7007299270072993,0.14545454545454545,-0.10588235294117647,"{""type"":""Point"",""coordinates"":[-96.7553,45.6912]}"
7,45.26329,-94.31249,-0.4495538778311599,0.16652789342214822,0.4339836019225332,"{""type"":""Point"",""coordinates"":[-94.31249,45.26329]}"
8,35.04176,-89.85648,-0.2467410083241715,-7.49063670411985E-4,0.14262794801861062,"{""type"":""Point"",""coordinates"":[-89.85648,35.04176]}"
9,30.24473,-83.24972,-0.3114754098360656,-0.15508021390374332,0.11836734693877551,"{""type"":""Point"",""coordinates"":[-83.24972,30.244730000000004]}"
10,40.83525,-74.6446,-0.3998044965786901,0.16034719049794427,0.3957922419460881,"{""type"":""Point"",""coordinates"":[-74.6446,40.83525]}"
11,26.93597,-82.12165,0.35410764872521244,-0.005235602094240838,-0.2549019607843137,"{""type"":""Point"",""coordinates"":[-82.12165,26.935969999999998]}"
12,44.69361,-93.78834,-0.4674652872311462,0.1329394387001477,0.41343992005995506,"{""type"":""Point"",""coordinates"":[-93.78834,44.69361]}"
13,40.18707,-110.7701,-0.3289264939185616,0.01721170395869191,0.23560910307898258,"{""type"":""Point"",""coordinates"":[-110.77010000000001,40.187070000000006]}"
14,25.59,-80.1,0.9175704989154013,-1.0,-0.047619047619047616,"{""type"":""Point"",""coordinates"":[-80.1,25.590000000000003]}"
15,43.2165,-71.76639,0.39436619718309857,0.0205761316872428,0.02857142857142857,"{""type"":""Point"",""coordinates"":[-71.76639,43.2165]}"
16,48.323,-119.432,-0.527907967618236,0.5345195729537366,0.8280305022350776,"{""type"":""Point"",""coordinates"":[-119.43200000000002,48.323]}"
17,44.85179,-93.54161,0.6945010183299389,0.08928571428571429,-0.3246753246753247,"{""type"":""Point"",""coordinates"":[-93.54161000000002,44.85179]}"
18,41.34888,-96.00111,-0.2769280136913039,0.054061251664447404,0.20439018927091498,"{""type"":""Point"",""coordinates"":[-96.00111,41.34888000000001]}"
19,40.11165,-108.7125,0.8604651162790697,-0.2736660929432014,-0.8407960199004975,"{""type"":""Point"",""coordinates"":[-108.7125,40.11165]}"
20,30.08402,-83.07492,-0.672289156626506,0.44175824175824174,0.560933448573898,"{""type"":""Point"",""coordinates"":[-83.07492,30.08402]}"
21,58.35584,-134.48569,-0.2773063235696688,0.18591934381408065,0.6017388396589199,"{""type"":""Point"",""coordinates"":[-134.48569,58.35583999999999]}"
22,42.65972,-113.91194,-0.29924135993256534,0.10009017132551848,0.38204334365325077,"{""type"":""Point"",""coordinates"":[-113.91194000000002,42.65972000000001]}"
23,41.28002,-82.42024,-0.3705841607019164,0.08422664624808576,0.5557206537890045,"{""type"":""Point"",""coordinates"":[-82.42024,41.28002]}"
24,40.59134,-110.11432,-0.5669740887132192,0.41978749033638374,0.6011994991102618,"{""type"":""Point"",""coordinates"":[-110.11432000000002,40.59134]}"
25,33.76022,-84.42814,-0.6110146365666088,0.30680100755667505,0.7764782326185835,"{""type"":""Point"",""coordinates"":[-84.42814,33.76021999999999]}"
26,26.94433,-82.2177,-0.6681443951868271,0.5023576351106275,0.7547372184483375,"{""type"":""Point"",""coordinates"":[-82.2177,26.944329999999994]}"
27,41.4134,-85.8645,-0.5715239154616241,0.398311048557354,0.5232785057150823,"{""type"":""Point"",""coordinates"":[-85.8645,41.4134]}"
28,28.011,-81.78122,0.3221957040572792,0.03523035230352303,-0.40711462450592883,"{""type"":""Point"",""coordinates"":[-81.78122,28.011000000000006]}"
29,41.77137,-87.86998,0.6677316293929713,0.1386861313868613,-0.16831683168316833,"{""type"":""Point"",""coordinates"":[-87.86998,41.77137]}"
30,40.8969,-78.6775,-0.03529411764705882,0.059422750424448216,-0.10139165009940358,"{""type"":""Point"",""coordinates"":[-78.6775,40.896899999999995]}"
31,30.52187,-84.10612,-0.6209773539928486,0.5398009950248757,0.8604826546003017,"{""type"":""Point"",""coordinates"":[-84.10612,30.521869999999993]}"
32,44.9049,-93.13557,-0.4837662337662338,0.33870040253018974,0.5704146432573777,"{""type"":""Point"",""coordinates"":[-93.13557,44.90489999999999]}"
